adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,imdb_url
False,/1RDto0tLo8Fhq7OcwgDaM7nECb7.jpg,"[80, 18, 36]",398978,en,The Irishman,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",15.6114,/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,2019-11-01,The Irishman,False,7.594,6984,https://www.imdb.com/title/tt1302006/
False,/hyFNmqBRWyrYN1owHwjagcgO2Ca.jpg,"[35, 10402]",249578,pt,Tabú,"The fictional encounter in Rio de Janeiro, Brazil (in the 30s) between popular songwriter Lamartine Babo and inconoclast poet and playwright Oswald de Andrade.",13.4812,/srpnzVpigLZ5Bpwur2fabDXfB3G.jpg,1983-03-10,Tabu,False,6.1,14,https://www.imdb.com/title/tt0182478/
False,/vchI0KSlYgCInkAdBlDaxL9xhq5.jpg,"[27, 35, 14]",917496,en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",15.2978,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04,Beetlejuice Beetlejuice,False,7.042,2405,https://www.imdb.com/title/tt2049403/
False,/721p2lNSGp2iSlUUukZwCzEKrnn.jpg,"[53, 99, 878]",1023915,en,2073,"Inspired by Chris Marker's iconic 1962 featurette La Jetée; the year is 2073—a not-so-distant dystopian future—and the setting is New San Francisco, the scorched-earth tech-dominant police state where democracy and personal freedom have been well and truly obliterated.",15.1344,/l67ir3kU53FYd6Vjwhqrkih1H1P.jpg,2024-12-27,2073,False,7.011,47,https://www.imdb.com/title/tt22042346/
False,/aAM3cQmYGjjLQ24m0F0RWfjKQ57.jpg,"[27, 18, 9648]",530385,en,Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",12.3967,/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,2019-07-03,Midsommar,False,7.2,7332,https://www.imdb.com/title/tt8772262/
False,/6WRrGYalXXveItfpnipYdayFkQB.jpg,"[18, 53, 80]",1422,en,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",12.6171,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,2006-10-04,The Departed,False,8.159,15209,https://www.imdb.com/title/tt0407887/
False,/7S0bXv3BqCuPfImKRf5kkmBVYZR.jpg,"[28, 12, 14]",572802,en,Aquaman and the Lost Kingdom,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",14.852,/oEyIhY1WzoFHUDE7U3p1AWwyoSN.jpg,2023-12-20,Aquaman and the Lost Kingdom,False,6.6,3004,https://www.imdb.com/title/tt9663764/
False,/iQcCAm8hKWZyUntqrvzyEGtXyJl.jpg,"[878, 28, 12]",670292,en,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",11.894,/3dSivDtOuyxLDxPH4v2tcNG1fP7.jpg,2023-09-27,The Creator,False,7.061,3283,https://www.imdb.com/title/tt11858890/
False,/jcVHl3PNxeKRg3SGK2sZrKxh94a.jpg,"[35, 14]",214756,en,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",11.6031,/38C91I7Xft0gyY7BITm8i4yvuRb.jpg,2015-06-25,Ted 2,False,6.3,7588,https://www.imdb.com/title/tt2637276/
False,/jNp6Ql2OiinZBdtOZg5RaDxwY73.jpg,[18],1280461,tl,Dirty Ice Cream,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs.",13.0906,/qrD5DuwYuzdwcT5MAeopA4vZfIN.jpg,2024-05-10,Dirty Ice Cream,False,4.0,4,https://www.imdb.com/title/tt32164743/
False,/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,"[28, 12, 878]",102382,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",13.4331,/dGjoPttcbKR5VWg1jQuNFB247KL.jpg,2014-04-16,The Amazing Spider-Man 2,False,6.514,13454,https://www.imdb.com/title/tt1872181/
False,/k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg,"[12, 28, 878]",140607,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",13.0654,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,2015-12-15,Star Wars: The Force Awakens,False,7.262,19649,https://www.imdb.com/title/tt2488496/
False,/A28EE0vgHrB0OdoxWWMfgfyEoYn.jpg,"[28, 18, 80, 53]",1276945,nl,Ferry 2,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",14.6013,/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg,2024-12-19,Ferry 2,False,5.7,108,https://www.imdb.com/title/tt30021427/
False,/oguoQWtQJcqIkmmUNbe3CmLx6AP.jpg,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",13.5276,/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,2010-06-23,The Twilight Saga: Eclipse,False,6.202,8855,https://www.imdb.com/title/tt1325004/
